,total_duration_sec,total_utterances,fragmentation_ratio,speech_ratio,avg_utterance_duration,num_short_pauses,num_long_pauses,avg_pause_duration,snr_db,mean_rms,std_rms,rms_dynamic_range,energy_burst_ratio,chaos_ratio,mean_spectral_bandwidth,mean_spectral_rolloff,mean_spectral_contrast,mean_spectral_flatness,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mean_zcr,std_zcr,mean_pitch_hz,std_pitch_hz,max_pitch_hz
count,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
mean,2338.374089285714,607.6666666666666,0.5710177275131462,0.44170153497454284,1.6809368526374067,532.6190476190476,74.04761904761905,2.5773193080978394,14.442592338935981,0.05953707758869439,0.04580493138304774,0.13408704492307844,0.020005012779431168,0.15000481962013856,1949.6454194631515,4070.5265604385877,16.958165245548212,0.060246729247626765,-154.72266860235305,50.43084498814174,91.45086342947823,27.020601726713636,0.8469460223402295,20.298569315955753,-2.9869566275959922,12.280051095145089,-4.262604454443569,11.78950191679455,0.13816315391388007,0.0746545798691468,177.78430129661606,112.38893372064294,376.81929903783714
std,356.1230394624872,215.31008646446023,0.06325656177068874,0.16486659043259813,0.25109344210311113,206.42104451593016,26.74598323202232,1.814330970807646,2.2791808944492384,0.01189098620091854,0.01042467800514667,0.03318841386723747,3.868194885048893e-06,4.402939189597415e-06,37.186657770739004,162.64708157477492,0.3664766747984953,0.008036483704464342,10.746979696028069,4.833573836828223,4.871990981542945,2.395468738628354,2.9262392241367254,2.519986327452027,1.7921405848820342,1.4316952645698149,2.503669273540411,1.6116118265481756,0.00952032610918018,0.010341159533768905,28.060099996136948,11.95363996937856,32.42504011449842
min,1719.7013125,256.0,0.4521880064829822,0.1471448907269339,1.281764705882353,202.0,32.0,0.95196992481203,9.600725627452892,0.0399063900113105,0.0231383945792913,0.0645259618759155,0.0200002605897145,0.1499979800972246,1873.997606331888,3733.475965484892,16.340059563501374,0.0455024726688861,-171.93426513671875,39.54502487182617,82.82794952392578,22.649978637695312,-4.161333084106445,15.63046932220459,-6.405385971069336,9.363560676574709,-8.65770149230957,8.347552299499512,0.1206389229392219,0.0504823181033681,131.3052531924169,93.2104956154607,317.4360865421154
25%,2171.1573125,446.0,0.5285087719298246,0.2849849514785315,1.4855182481751823,381.0,55.0,1.461041420118343,13.18934961376142,0.0521127097308635,0.0375450029969215,0.1061997860670089,0.0200019720254109,0.1500019757899867,1917.107585520759,3955.407491270553,16.7074907560122,0.0537084080278873,-161.15184020996094,47.28775405883789,88.25760650634766,25.184532165527344,-1.596671223640442,17.749414443969727,-3.784891128540039,11.40640354156494,-5.417943477630615,11.122878074645996,0.1327748780029369,0.0693737133958116,154.21340350916972,103.37159270303589,348.2445275701431
50%,2383.872,628.0,0.5730706075533661,0.468500592001403,1.6631609442060085,556.0,69.0,1.7711800554016623,15.182487641082492,0.0585574582219123,0.0493795350193977,0.1450298875570297,0.0200043020004302,0.1500039402138222,1956.7905064370536,4109.757059551073,16.908560351359075,0.0609239414334297,-153.58975219726562,51.5095329284668,91.00950622558594,26.44872093200684,0.7619388103485107,20.40053939819336,-2.8957951068878174,12.311467170715332,-4.952781677246094,11.96250057220459,0.1349981283327684,0.0718003389478858,173.7587017706905,114.63133256336005,383.8997229590933
75%,2484.9706875,754.0,0.6196403872752421,0.5672552711850803,1.8204116456834527,648.0,100.0,3.348683146067416,16.248569896496655,0.0690335407853126,0.0524901635944843,0.155180424451828,0.0200072354933839,0.1500094540936225,1974.793926558313,4185.129793514367,17.256375147729354,0.0654871985316276,-145.5505828857422,54.11699295043945,95.2919921875,29.136144638061523,3.441319227218628,22.441823959350582,-1.92245090007782,13.234097480773926,-2.7163445949554443,13.084521293640137,0.1456287753711266,0.0824750576771097,194.2966610930434,121.876114064326,402.04890533763177
max,2965.4613125,932.0,0.6725768321513003,0.6674284135277467,2.299585089141005,856.0,118.0,7.156690196078432,17.133939956091513,0.0791690796613693,0.0608325637876987,0.1819300353527069,0.020013048154744,0.1500117910623747,2009.627870874508,4367.5094326259405,17.653883675268112,0.0748624801635742,-134.69866943359375,57.35539245605469,98.7293701171875,31.196372985839844,5.61467170715332,24.14201545715332,0.3840551674365997,14.596821784973145,0.3107368350028991,13.59158706665039,0.1587029128262787,0.0978959530511489,223.48274511444976,133.53195123573624,424.3305935067731
