time_sec,gap_duration,time_min,bin,time_formatted
107.728,75.172,1.7954666666666665,0,01:47
384.336,160.036,6.405600000000001,1,06:24
638.944,5.252000000000066,10.649066666666666,2,10:38
1119.6,5.796000000000049,18.66,3,18:39
1484.9279999999999,4.035999999999831,24.7488,4,24:44
1764.08,10.211999999999989,29.401333333333334,5,29:24
1874.88,148.548,31.248,6,31:14
2330.224,8.996000000000095,38.83706666666667,7,38:50
2471.184,20.45199999999977,41.186400000000006,8,41:11
