case_name,total_duration_sec,total_utterances,fragmentation_ratio,speech_ratio,avg_utterance_duration,num_short_pauses,num_long_pauses,avg_pause_duration,snr_db,mean_rms,std_rms,rms_dynamic_range,energy_burst_ratio,chaos_ratio,mean_spectral_bandwidth,mean_spectral_rolloff,mean_spectral_contrast,mean_spectral_flatness,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mean_zcr,std_zcr,mean_pitch_hz,std_pitch_hz,max_pitch_hz
subject01,1814.8053125,528,0.5132575757575758,0.5388166464825684,1.8519835464015155,487,40,1.5666565464895637,16.532351517201306,0.0752715244889259,0.0564942769706249,0.1683914810419082,0.020013048154744,0.1500035265904923,1904.037886689058,3944.512281134837,17.653883675268112,0.0528538972139358,-145.5505828857422,54.11699295043945,91.00950622558594,30.197120666503903,-1.596671223640442,20.40053939819336,-6.405186653137207,12.311467170715332,-8.65770149230957,13.379830360412598,0.1380409139962398,0.0824750576771097,215.78393223082705,120.0731213904231,402.04890533763177
subject02,2455.936,912,0.5285087719298246,0.6460494084536403,1.7397543859649125,847,64,0.952443468715697,16.248569896496655,0.0734818279743194,0.0550091639161109,0.1631710976362228,0.0200002605897145,0.1500104237243967,1873.997606331888,3733.475965484892,17.65183987683897,0.0459244847297668,-152.927490234375,50.30426406860352,96.26223754882812,27.5214900970459,-0.4859399497509002,19.71595001220703,-6.405385971069336,11.615517616271973,-7.197693824768066,11.743501663208008,0.1258255909686119,0.0671663911420315,223.48274511444976,124.79168427305392,418.33489974107584
subject03,2171.1573125,824,0.5388349514563107,0.627657565232275,1.653814699635922,750,73,0.9805637910085054,15.33457915629311,0.0690335407853126,0.0520589910447597,0.155180424451828,0.0200002947722147,0.1500117910623747,1972.945777740669,4180.572046935106,17.18254966140995,0.0590583942830562,-144.36204528808594,54.3448600769043,88.8315200805664,30.16707992553711,4.068451404571533,21.47869682312012,-1.92245090007782,13.069560050964355,-5.32924222946167,13.59158706665039,0.1394579366382518,0.0840307991411258,188.68025578786205,122.96526736079922,407.5618911285427
subject04,2244.224,446,0.6457399103139013,0.2818720412935608,1.4183497757847534,381,64,3.348683146067416,11.711226779950843,0.0521127097308635,0.0375450029969215,0.1033414751291275,0.0200048479317867,0.1500028517652427,1983.85078057828,4166.326836154164,16.655925005072934,0.0667787864804267,-154.7996063232422,46.60516357421875,90.43737030029295,29.136144638061523,3.810763120651245,18.41926002502441,0.3840551674365997,11.282544136047363,0.3107368350028991,10.273306846618652,0.1413930022911824,0.0887786369648732,154.21340350916972,104.84174777227994,345.3974933513731
subject05,2918.912,754,0.5490716180371353,0.468500592001403,1.813676392572944,648,105,1.8729189907038517,10.977704376970983,0.0491347163915634,0.0323790498077869,0.0891199856996536,0.0200072354933839,0.1500065777933696,2002.9437157156185,4185.129793514367,16.661762863852296,0.0596183165907859,-158.41099548339844,43.91737747192383,92.63645935058594,24.885303497314453,5.61467170715332,17.470443725585938,-1.3470709323883057,10.88462257385254,0.163220539689064,9.813923835754396,0.1329940992787117,0.0693737133958116,157.70087489266683,103.67482178857648,345.61789990176857
subject06,2383.872,723,0.6196403872752421,0.4632824245597082,1.5275325034578149,610,112,1.7711800554016623,16.254969362650428,0.0585574582219123,0.0524901635944843,0.1548483967781067,0.0200008054015597,0.1500080541237113,1986.0027148104848,4177.978119085332,16.93536307256194,0.0612705945968627,-161.15184020996094,51.5095329284668,91.00896453857422,25.67119407653809,3.147338628768921,17.749414443969727,-4.524592876434326,11.41272258758545,-5.1475090980529785,12.336461067199709,0.1349981283327684,0.0685587841982182,173.7587017706905,113.71766215825532,372.43262594219976
subject07,2429.4186875,617,0.4521880064829822,0.5840261323831611,2.299585089141005,553,63,1.6335584415584414,17.08622922609947,0.0755741149187088,0.0596762262284755,0.1760193109512329,0.0200079030558482,0.1500019757899867,1899.908200950193,3887.041766826923,17.280388598509923,0.0487809032201767,-149.8904571533203,51.305137634277344,95.16012573242188,25.01449203491211,0.6190540790557861,23.611238479614254,-5.425838947296143,12.379509925842283,-7.034183025360107,13.28326416015625,0.1285213426242261,0.0619254936648444,211.7957141511127,133.53195123573624,424.3305935067731
subject08,1786.7733125,321,0.6448598130841121,0.2510156139350776,1.397221183800623,237,83,4.0375,9.600725627452892,0.0399063900113105,0.0231383945792913,0.0645259618759155,0.0200046564106237,0.1500107457554266,1965.3301351772168,3960.654589474721,16.449779441703974,0.0609239414334297,-171.43333435058594,39.54502487182617,98.7293701171875,25.52483940124512,5.265716552734375,15.63046932220459,-3.3605525493621826,9.363560676574709,-1.0179203748703003,8.347552299499512,0.1301827228417089,0.0712061052331313,131.3052531924169,93.46458088460292,317.4360865421154
subject09,2965.4613125,675,0.6325925925925926,0.3333053093067457,1.4643022222222222,556,118,2.9274896142433238,14.492656366142851,0.0563113763928413,0.0487073250114917,0.1425367444753646,0.0200062587001327,0.1500053954893709,1917.107585520759,3856.71648560499,16.889010835184866,0.0537084080278873,-159.28639221191406,51.10580062866211,98.52622985839844,25.27065086364746,1.5404590368270874,19.880027770996094,-3.784891128540039,11.62391471862793,-3.4180474281311035,11.838865280151367,0.1289508202657115,0.0671538529155914,145.13879168553152,103.37159270303589,351.05007615945925
subject10,2796.288,511,0.6046966731898239,0.2849849514785315,1.5594911937377691,395,115,3.663043137254903,13.18934961376142,0.0455048754811286,0.037387978285551,0.1061997860670089,0.0200034330834811,0.1500045774970246,1951.1636111957616,3989.89868827602,16.7074907560122,0.0605957880616188,-171.91358947753906,47.28775405883789,95.2919921875,24.554553985595703,1.916632890701294,17.65480613708496,-2.2206997871398926,11.40640354156494,-2.2905893325805664,11.122878074645996,0.1335483834557561,0.0695927570829463,146.9504844139418,95.0179486943023,328.1558302347702
